aX,aY,aZ,gX,gY,gZ
0.59,0.51,0.57,0.50,0.51,0.49
0.60,0.51,0.57,0.50,0.51,0.48
0.62,0.51,0.58,0.50,0.51,0.48
0.64,0.50,0.57,0.50,0.50,0.47
0.64,0.50,0.57,0.50,0.50,0.47
0.65,0.50,0.57,0.51,0.50,0.46
0.66,0.49,0.57,0.51,0.49,0.45
0.66,0.48,0.56,0.51,0.49,0.43
0.66,0.46,0.56,0.51,0.49,0.41
0.64,0.44,0.56,0.51,0.49,0.39
0.64,0.44,0.56,0.51,0.49,0.39
0.60,0.43,0.56,0.51,0.49,0.38
0.57,0.42,0.56,0.51,0.50,0.37
0.52,0.41,0.56,0.51,0.51,0.36
0.48,0.41,0.56,0.51,0.51,0.35
0.45,0.41,0.56,0.51,0.51,0.35
0.45,0.41,0.56,0.51,0.51,0.35
0.41,0.41,0.57,0.51,0.51,0.35
0.38,0.42,0.57,0.51,0.51,0.36
0.35,0.42,0.57,0.51,0.51,0.36
0.32,0.43,0.58,0.51,0.51,0.38
0.30,0.44,0.58,0.51,0.50,0.39
0.30,0.44,0.58,0.51,0.50,0.39
0.28,0.45,0.58,0.51,0.50,0.41
0.26,0.46,0.57,0.52,0.50,0.42
0.26,0.47,0.57,0.52,0.50,0.44
0.26,0.47,0.56,0.52,0.49,0.47
0.28,0.47,0.56,0.52,0.49,0.49
0.28,0.47,0.56,0.52,0.49,0.49
0.31,0.47,0.55,0.51,0.49,0.51
0.35,0.47,0.55,0.51,0.48,0.52
0.38,0.47,0.55,0.51,0.48,0.53
0.40,0.47,0.55,0.51,0.48,0.54
0.42,0.48,0.55,0.51,0.48,0.54
0.42,0.48,0.55,0.51,0.48,0.54
0.44,0.48,0.55,0.51,0.48,0.54
0.46,0.48,0.55,0.51,0.48,0.55
0.47,0.49,0.55,0.50,0.48,0.55
0.48,0.49,0.56,0.50,0.49,0.55
0.49,0.49,0.56,0.50,0.49,0.54
0.49,0.49,0.56,0.50,0.49,0.54
0.50,0.49,0.56,0.50,0.49,0.54
0.50,0.50,0.56,0.50,0.49,0.54
0.50,0.50,0.56,0.50,0.49,0.54
0.50,0.50,0.56,0.50,0.49,0.54
0.49,0.50,0.56,0.50,0.49,0.53
0.49,0.50,0.56,0.50,0.49,0.53
0.49,0.50,0.56,0.50,0.49,0.53
0.49,0.51,0.55,0.50,0.49,0.53
0.49,0.51,0.55,0.50,0.50,0.53
0.49,0.51,0.55,0.50,0.50,0.53
0.49,0.51,0.55,0.50,0.50,0.53
0.49,0.51,0.55,0.50,0.50,0.53
0.49,0.51,0.55,0.50,0.50,0.54
0.49,0.51,0.55,0.50,0.50,0.54
0.50,0.51,0.55,0.50,0.50,0.54
0.50,0.51,0.55,0.50,0.50,0.54
0.50,0.51,0.55,0.50,0.50,0.54
0.50,0.51,0.55,0.50,0.50,0.54
0.51,0.51,0.55,0.50,0.50,0.54
0.51,0.51,0.55,0.50,0.50,0.54
0.51,0.51,0.56,0.50,0.50,0.54
0.51,0.51,0.56,0.50,0.50,0.54
0.52,0.51,0.56,0.50,0.50,0.54
0.52,0.51,0.56,0.49,0.50,0.53
0.52,0.51,0.56,0.49,0.50,0.53
0.52,0.51,0.57,0.49,0.50,0.53
0.51,0.51,0.57,0.49,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.52

0.58,0.51,0.58,0.50,0.51,0.51
0.59,0.51,0.58,0.50,0.51,0.50
0.61,0.51,0.58,0.50,0.51,0.50
0.62,0.51,0.59,0.50,0.51,0.49
0.62,0.51,0.59,0.50,0.51,0.49
0.63,0.51,0.58,0.50,0.50,0.48
0.65,0.50,0.58,0.51,0.50,0.47
0.66,0.49,0.57,0.51,0.50,0.46
0.66,0.49,0.56,0.51,0.49,0.45
0.66,0.48,0.56,0.51,0.49,0.43
0.66,0.48,0.56,0.51,0.49,0.43
0.65,0.47,0.56,0.51,0.48,0.42
0.63,0.46,0.56,0.51,0.48,0.40
0.61,0.45,0.56,0.51,0.48,0.39
0.58,0.44,0.57,0.51,0.48,0.38
0.55,0.42,0.57,0.50,0.48,0.37
0.55,0.42,0.57,0.50,0.48,0.37
0.53,0.42,0.58,0.50,0.49,0.36
0.49,0.41,0.58,0.50,0.50,0.36
0.45,0.41,0.58,0.51,0.51,0.36
0.41,0.42,0.58,0.51,0.51,0.36
0.37,0.42,0.58,0.51,0.52,0.36
0.37,0.42,0.58,0.51,0.52,0.36
0.34,0.43,0.58,0.51,0.52,0.37
0.30,0.44,0.57,0.52,0.51,0.38
0.27,0.45,0.56,0.52,0.51,0.39
0.25,0.46,0.55,0.52,0.51,0.41
0.24,0.47,0.54,0.52,0.51,0.43
0.24,0.47,0.54,0.52,0.51,0.43
0.23,0.48,0.53,0.51,0.51,0.46
0.25,0.48,0.53,0.51,0.50,0.48
0.28,0.47,0.52,0.51,0.50,0.50
0.31,0.47,0.53,0.50,0.50,0.51
0.34,0.47,0.53,0.50,0.49,0.53
0.34,0.47,0.53,0.50,0.49,0.53
0.36,0.47,0.53,0.50,0.49,0.54
0.39,0.47,0.54,0.49,0.49,0.54
0.42,0.47,0.55,0.49,0.48,0.55
0.44,0.48,0.56,0.49,0.48,0.55
0.47,0.48,0.57,0.49,0.49,0.56
0.47,0.48,0.57,0.49,0.49,0.56
0.49,0.48,0.58,0.49,0.49,0.56
0.50,0.48,0.58,0.49,0.49,0.56
0.51,0.49,0.58,0.49,0.49,0.55
0.52,0.49,0.58,0.50,0.49,0.55
0.52,0.50,0.58,0.50,0.49,0.54
0.52,0.50,0.58,0.50,0.49,0.54
0.52,0.50,0.57,0.50,0.50,0.54
0.51,0.50,0.57,0.50,0.50,0.54
0.51,0.51,0.56,0.50,0.50,0.53
0.50,0.51,0.56,0.50,0.50,0.53
0.50,0.51,0.56,0.50,0.50,0.53
0.50,0.51,0.56,0.50,0.50,0.53
0.49,0.51,0.56,0.50,0.50,0.53
0.49,0.51,0.56,0.50,0.50,0.53
0.48,0.51,0.56,0.50,0.50,0.53
0.48,0.51,0.56,0.50,0.50,0.53
0.48,0.51,0.56,0.50,0.50,0.53
0.48,0.51,0.56,0.50,0.50,0.53
0.49,0.51,0.55,0.50,0.50,0.53
0.49,0.51,0.55,0.50,0.50,0.53
0.50,0.51,0.55,0.50,0.50,0.54
0.50,0.51,0.55,0.50,0.50,0.54
0.51,0.51,0.55,0.50,0.50,0.54
0.51,0.51,0.55,0.50,0.50,0.54
